autor,numero_episodio,titulo_episodio,cita,orden_cita,temporada
Kate,20,La casa aburrida,"Mira umm, yo, yo estaba, simplemente estaba atrapado en el momento. Eso es todo lo que fue. Joey, lamento que te sientas mal, pero ¿nunca te has acostado con una mujer donde significara más para ella que para ti?",231,3
Joey,20,La casa aburrida,Nooo.,232,3
Lauren,20,La casa aburrida,"(entrando) ¡Hola, Kate!",233,3
Kate,20,La casa aburrida,Hola lauren.,234,3
Joey,20,La casa aburrida,Hola lauren.,235,3
Lauren,20,La casa aburrida,¡Hola cerdo!,236,3
Ross,20,La casa aburrida,"Lo siento, ah, te asusté allí.",237,3
Monica,20,La casa aburrida,"Oh, está bien. Por cierto, estaba revisando el masajeador de la ducha.",238,3
Ross,20,La casa aburrida,Sí.,239,3
Phoebe,20,La casa aburrida,(entrando) ¡Oye!,240,3
Monica,20,La casa aburrida,(corre hacia ella) Intenté comunicarme con usted en el trabajo. Ha... habido un incendio.,241,3
Phoebe,20,La casa aburrida,¡¿Qué?! Dios mío... (ve los restos de la casa) ¡¡Dios mío!! ¡¿Qué pasó?!,242,3
Ross,20,La casa aburrida,"Bueno, creemos que se originó aquí. (Utiliza un puntero y señala el punto de origen). En la Sala de Aromas.",243,3
Phoebe,20,La casa aburrida,Está bien. ¿Todos salieron bien?,244,3
Monica,20,La casa aburrida,"Bueno, la jirafa está bien. Y también lo es el pirata.",245,3
Phoebe,20,La casa aburrida,Oh. ¿Qué es esto? (Ve un pañuelo que cubre algo y se mueve para quitarlo.),246,3
Ross,20,La casa aburrida,"¡No, Phoebe, no mires! ¡¡No quieres ver lo que hay debajo!!",247,3
Phoebe,20,La casa aburrida,"(Hace una pausa para prepararse y retira el pañuelo.) ¡Oh, los títeres de Foster!",248,3
Chandler,20,La casa aburrida,"No es gran cosa. Es, simplemente está aquí (señala su ojo) y está todo el tiempo.",249,3
Joanna,20,La casa aburrida,"Bueno, gracias de nuevo por el almuerzo.",250,3
Chandler,20,La casa aburrida,"(Mira a Rachel, quien asiente con la cabeza) Sí, esto, esto fue agradable.",251,3
Joanna,20,La casa aburrida,"Lo fue, ¿no?",252,3
Chandler,20,La casa aburrida,La comida que había era genial.,253,3
Joanna,20,La casa aburrida,¿No fue así?,254,3
Chandler,20,La casa aburrida,Así que ten cuidado.,255,3
Joanna,20,La casa aburrida,Tú también.,256,3
Chandler,20,La casa aburrida,"Bueno, esto fue genial. Te llamaré. Deberíamos hacerlo de nuevo alguna vez. (Rachel está decepcionada)",257,3
Joanna,20,La casa aburrida,"¡Excelente! Estoy deseando que llegue. Rachel, ¿algún mensaje?",258,3
Rachel,20,La casa aburrida,El escritorio de Sophie.,259,3
Rachel,20,La casa aburrida,(susurrando) ¡¡Chandler!! ¿Vas a llamarla?,260,3
Chandler,20,La casa aburrida,¡No!,261,3
Rachel,20,La casa aburrida,¡¡Velero!!,262,3
Chandler,20,La casa aburrida,"Mira, lo siento. ¿Bueno? Soy débil, patética y lo siento.",263,3
Rachel,20,La casa aburrida,"Está bien, se lo vas a decir y se lo vas a decir ahora. (Ella agarra su pezón y comienza a torcerlo.)",264,3
Chandler,20,La casa aburrida,AhhhhNo voy a llamarte.,265,3
Joanna,20,La casa aburrida,¿Qué?,266,3
Chandler,20,La casa aburrida,"Lo siento. Lamento haber dicho que iba a hacerlo cuando no es así. Mira, esto no tiene nada que ver contigo, ¿sabes? Y esto no es culpa de Rachel. Soy yo. Tengo problemas muy, muy serios cuando se trata de mujeres. Tengo problemas con el compromiso, la intimidad y (pausa) la sustancia pegajosa del rímel. Y lo siento mucho, es sólo que esto no va a funcionar.",267,3
Joanna,20,La casa aburrida,"Bueno, no es así como esperaba que terminara esto, pero supongo que debo apreciar tu honestidad.",268,3
Chandler,20,La casa aburrida,"Sí, está bien.",269,3
Joanna,20,La casa aburrida,Entonces...,270,3
Chandler,20,La casa aburrida,"Bueno, ¡esto es genial! ¡Te llamaré! ¡Deberíamos hacerlo de nuevo alguna vez!",271,3
Joey,20,La casa aburrida,"(al teléfono) Bueno, de todos modos Beth, lo que estoy diciendo es que debería haber considerado tus sentimientos antes de irme a casa contigo esa noche. Ah, recientemente aprendí lo que es estar de tu lado, y lo siento. Entonces, ¿crees que puedes perdonarme? (escucha) Genial. Gracias. Vale, adiós. (Se sienta, tacha algo y vuelve a marcar el teléfono.) ¿Hola, Jennifer? (escucha) Oh hola señora Loreo, ¿está Jennifer ahí? (escucha) Oh, ella no está en casa ¿eh? (escucha) Bueno, en realidad yo también necesito hablar contigo.",273,3
Rachel,21,El pollito y el pato,"Entonces, ¿de quién fue la idea de poner a todos en el restaurante en patines?",0,3
Monica,21,El pollito y el pato,"Oh, algún cliente idiota puso una sugerencia en el buzón de sugerencias.",1,3
Phoebe,21,El pollito y el pato,"¡Dios mío, tomaron mi idea!",2,3
Monica,21,El pollito y el pato,¡¿Ese eras tú?!,3,3
Phoebe,21,El pollito y el pato,"¡Sí! Bien, aquí tienes. (la lleva de espaldas a Rachel)",4,3
Gunter,21,El pollito y el pato,"(le trae una taza a Rachel) Rachel, te hice un chocolate.",5,3
Phoebe,21,El pollito y el pato,"Dios mío, ¿están bien chicos?",6,3
Gunter,21,El pollito y el pato,¿Estás bien?,7,3
Joey,21,El pollito y el pato,"(sale de Central Perk y ve a Monica recostada encima de Rachel, quien gime de dolor.) Dios mío.",8,3
Chandler,21,El pollito y el pato,(luciendo una barba de chivo) Oye.,10,3
Joey,21,El pollito y el pato,"Ey. Ya sabes, con esa barba de chivo te pareces a Satán.",11,3
Chandler,21,El pollito y el pato,"Oh, entonces por eso el sacerdote me arrojó agua bendita. (no hay reacción por parte de Joey) Está bien, escucha, ¡tienes que animarte! ¿Bueno? Deberías salir con Ross y conmigo. Quiero decir, cualquier cosa es mejor que estar sentado aquí llorando todo el día por Kate.",12,3
Joey,21,El pollito y el pato,"Oye, estaba llorando porque nadie creía en la teoría de Quincy. ¿Bueno?",13,3
Ross,21,El pollito y el pato,(entrando) ¡Oye!,14,3
Chandler,21,El pollito y el pato,Ey.,15,3
Ross,21,El pollito y el pato,(triunfante) ¡¡Voy a salir en la televisión!!,16,3
Chandler,21,El pollito y el pato,¡De ninguna manera!,17,3
Ross,21,El pollito y el pato,¡Sí! ¡Están armando este panel para hablar sobre estos fósiles que acaban de encontrar en Perú y The Discovery Channel lo va a filmar!,18,3
Chandler,21,El pollito y el pato,¡Ay dios mío! ¡¿Quién va a ver eso?!,19,3
Ross,21,El pollito y el pato,Gracias. ¿Estás listo para partir?,20,3
Chandler,21,El pollito y el pato,Sí. (empiezan a salir),21,3
Joey,21,El pollito y el pato,Vi a una chica con ese chaleco.,22,3
Chandler,21,El pollito y el pato,Gracias. (Se quita el chaleco y lo tira al suelo.),23,3
presentadora,21,El pollito y el pato,"(en televisión) Mientras que la mayoría de nosotros pensamos en los conejitos y las cestas de chocolate como regalos tradicionales de Pascua. Algunas personas insisten en regalar polluelos vivos. (Joey está intrigado por la idea) Desafortunadamente, la triste realidad es que la mayoría de estos pequeños no vivirán para ver el 4 de julio. (Joey comienza a llamar a un lugar para comprar un pollito) Debido a que, como resultado de un cuidado inadecuado, estarán muertos.",24,3
Joey,21,El pollito y el pato,"(al teléfono) Sí, hola. ¿Tienen alguno de esos pollitos? Porque estaba viendo este comercial en la televisión y hombre, ¡esos tipos son lindos!",25,3
Pete,21,El pollito y el pato,¡Hola!,26,3
Monica,21,El pollito y el pato,"¡Hola! ¡Oye, Pete, has vuelto! Oye, mira esto. (Ella comienza a patinar hacia él)",27,3
Pete,21,El pollito y el pato,¡Guau! ¡Patines!,28,3
Monica,21,El pollito y el pato,"¡Guau! Eres mucho más resistente que Chandler. Se arrugó como un trozo de papel. Entonces, ¿cómo estuvo tu viaje?",29,3
Pete,21,El pollito y el pato,Bueno... (levanta un regalo que le trajo),30,3
Monica,21,El pollito y el pato,"Oh, ¿qué me trajiste? (Abre el regalo) Awww, artículos de tocador de hotel de Japón. Oh, estos van a ir a mi colección permanente. ¿Quieres un poco de café?",31,3
Pete,21,El pollito y el pato,"Sí, claro, eso sería genial.",32,3
Monica,21,El pollito y el pato,(apareciendo de nuevo) ¿Regular o descafeinado?,33,3
Pete,21,El pollito y el pato,"Ah, lo que esté más cerca.",34,3
Monica,21,El pollito y el pato,Bueno. (le entrega una taza),35,3
Pete,21,El pollito y el pato,Entonces pregúntame qué hice hoy.,36,3
Monica,21,El pollito y el pato,"Entonces, ¿qué hiciste hoy, Pete?",37,3
Pete,21,El pollito y el pato,Compré un restaurante y me gustaría que fueras el jefe de cocina.,38,3
Monica,21,El pollito y el pato,¡¿Qué?! Oh.(Se da vuelta rápidamente y cae),39,3
Monica,21,El pollito y el pato,¿Puedes creer que me acaba de ofrecer un restaurante?,40,3
Rachel,21,El pollito y el pato,¡Qué idiota! ¿Quieres que le patee el trasero?,41,3
Monica,21,El pollito y el pato,"Quiero decir, este ha sido mi sueño desde que compré mi primer horno Easy Bake y abrí Easy Monicas Bakery. Quiero decir que mataría por este trabajo. Quiero decir que puedo hacer este trabajo totalmente y Dios sabe que pagué mis deudas. (Se quita los senos postizos) Pero Pete sólo hace esto porque está enamorado de mí.",42,3
Rachel,21,El pollito y el pato,¿Y todavía no te sientes atraída por él en absoluto?,43,3
Monica,21,El pollito y el pato,"Mmm, no. Quiero decir, ¿cómo puedo aceptar un restaurante de él? Yo-yo-yo-no puedo. Ni siquiera podía aceptar un collar de Stu Vincent en séptimo grado.",44,3
Rachel,21,El pollito y el pato,"Sí, pero Mon, eso es totalmente diferente. Él era tu maestro de salud.",45,3
Monica,21,El pollito y el pato,"Ah, por favor.",46,3
Monica,21,El pollito y el pato,¿Qué? Miel.,47,3
Rachel,21,El pollito y el pato,"Oh, lo estoy, todavía me duele el costado cuando chocaste contra mí ayer.",48,3
Monica,21,El pollito y el pato,"Oh Dios, lo siento mucho.",49,3
Rachel,21,El pollito y el pato,Lo sé.,50,3
Rachel,21,El pollito y el pato,¡¡Ay!!,51,3
Monica,21,El pollito y el pato,¡Oh Dios!,52,3
Ross,21,El pollito y el pato,"(entra, vestido con un traje blanco y una pajarita roja) ¡Eh, chicos! ¿Adivina qué?",53,3
Rachel,21,El pollito y el pato,(mirando el traje) ¿Tienes trabajo en un barco fluvial?,54,3
Ross,21,El pollito y el pato,"¿Sabes qué? No usé este traje durante un año porque lo odiabas. Bueno, ¿adivinen qué? Ya no eres mi novia así que...",55,3
Rachel,21,El pollito y el pato,"Oh, ya veo, entonces este traje está dejando claro un punto.",56,3
Ross,21,El pollito y el pato,Bien.,57,3
Rachel,21,El pollito y el pato,"Ahora que estás solo, eres libre de parecer tan estúpido como quieras.",58,3
Ross,21,El pollito y el pato,(a Mónica) Te gusta ¿verdad?,59,3
Monica,21,El pollito y el pato,"Oh, absolutamente. Me gusta aún más contigo que con el coronel Sanders. (Ross comienza a irse) ¡Ross! ¡Ross! ¡Estoy bromeando!",60,3
Rachel,21,El pollito y el pato,"¡Sí, ven aquí!",61,3
Monica,21,El pollito y el pato,¿Qué-qué era lo que nos ibas a decir?,62,3
Rachel,21,El pollito y el pato,Sí. ¡Oh! ¡¿Cómo inventaste la desmotadora de algodón?!,63,3
Ross,21,El pollito y el pato,"¡Está bien, adiós! (hojas)",64,3
Chandler,21,El pollito y el pato,"Entonces, después de poner la sugerencia en la caja, ¿cuánto tiempo tardó en suceder lo del patinaje?",65,3
Phoebe,21,El pollito y el pato,"Umm, oh, unos tres meses.",66,3
Chandler,21,El pollito y el pato,"Bien, supongo que eso es aproximadamente dos semanas antes de que empiece a funcionar el topless.",67,3
Joey,21,El pollito y el pato,(entrando con una caja) ¡¡Oye!!,68,3
Chandler,21,El pollito y el pato,¡Ey!,69,3
Joey,21,El pollito y el pato,¡Te traje algo! ¡Ábrelo! ¡Ábrelo!,70,3
Chandler,21,El pollito y el pato,Bueno. (Lo abre y es un pollito) Es una gallina.,71,3
Joey,21,El pollito y el pato,"Es lindo, ¿eh?",72,3
Phoebe,21,El pollito y el pato,"Vaya, vaya, vaya, chicos, ¿saben algo sobre chicas?",73,3
Chandler,21,El pollito y el pato,¿Ave? No. ¿Mujeres? Nooo.,74,3
Phoebe,21,El pollito y el pato,"Vale, bueno, son una responsabilidad enorme, especialmente a esta edad. Requieren cuidados constantes. Necesitan la comida adecuada y muchísimo amor.",75,3
Joey,21,El pollito y el pato,"Ah, bueno, no hay problema. (Coge al pollito, lo abraza muy fuerte y le habla como si fuera un bebé.)",76,3
Chandler,21,El pollito y el pato,Tranquilo Lenny.,77,3
Pete,21,El pollito y el pato,"¿Entonces? Quiero decir, ¿lo has pensado?",78,3
Monica,21,El pollito y el pato,Bueno. Aquí está la cosa.,79,3
Pete,21,El pollito y el pato,"Oh no, la cosa no. Odio la cosa. ¿Cuál es la cosa?",80,3
Monica,21,El pollito y el pato,"No puedo hacerlo. Lo siento, desearía poder hacerlo, pero umm, veo que tienes estos sentimientos por mí...",81,3
Pete,21,El pollito y el pato,"Espera, espera, espera, espera, ¿eso es lo que te preocupa? Si ese es el problema, no tenemos ningún problema.",82,3
Monica,21,El pollito y el pato,¿Eh?,83,3
Pete,21,El pollito y el pato,"¡No! Mira, iba a decirte esto durante la cena, pero conocí a alguien más. En mi viaje.",84,3
Monica,21,El pollito y el pato,¿Oh?,85,3
Pete,21,El pollito y el pato,"Su nombre es Ann, es periodista. Ahh, nos conocimos en el avión. Me preguntó si podía terminar mis maníes, pensé que había dicho algo más, nos reímos mucho. Sí, es solo que me cansé de esperar.",86,3
Monica,21,El pollito y el pato,"¡Oh, eso es genial! Quiero decir, lo siento, pero estoy muy feliz por ti. ¡Y ahora puedo trabajar para ti!",87,3
Pete,21,El pollito y el pato,Supongo que puedes.,88,3
Monica,21,El pollito y el pato,"¡Ay dios mío! ¡Oh, esto es increíble! ¡Oh! (ella se da vuelta y lo besa en la mejilla) Está bien, ¿sabes qué? ¡Voy a entrar directamente a esa oficina y renunciar!",89,3
Pete,21,El pollito y el pato,Está bien.,90,3
Monica,21,El pollito y el pato,Bueno. (se prepara para irse) ¿Puedes darme un empujoncito?,91,3
Pete,21,El pollito y el pato,"Sí, claro. ¡Buena suerte!",92,3
Monica,21,El pollito y el pato,(ruedando hacia la oficina) ¡¡Me voy!! ¡Guau! (Ella cruza una puerta y se pierde de vista. Luego escuchamos un gran estrépito y vemos a Mónica pasar por la puerta hacia el otro lado.) ¡¡Estoy bien!! ¡¡Estoy bien!!,93,3
Phoebe,21,El pollito y el pato,"(a Pete) ¡Guau! Eso es emocionante, fuiste a Japón, inventaste una mujer.",94,3
Pete,21,El pollito y el pato,¿Qué?,95,3
Phoebe,21,El pollito y el pato,Sólo digo que esta mujer es ficticia. ¿No?,96,3
Pete,21,El pollito y el pato,¿Por qué dirías eso?,97,3
Phoebe,21,El pollito y el pato,"Porque todavía te gusta Mónica. Entonces le dijiste que había alguien más para que aceptara trabajar contigo, así que piensas que si pasaban mucho tiempo juntos, tal vez algo podría pasar, y...",98,3
Pete,21,El pollito y el pato,Eres bueno. ¡Eres bueno!,99,3
Phoebe,21,El pollito y el pato,"Sí, no, soy bastante intuitivo y psíquico. Es un regalo sustancial.",100,3
Pete,21,El pollito y el pato,"Escucha, ¿puedes prometerme que no se lo dirás?",101,3
Phoebe,21,El pollito y el pato,"Absolutamente, oh lo prometo. ¿Decirle qué?",102,3
Pete,21,El pollito y el pato,Muchas gracias.,103,3
Phoebe,21,El pollito y el pato,"No, lo digo en serio. Quiero decir que soy intuitivo, pero mi memoria apesta.",104,3
Chandler,21,El pollito y el pato,"Está bien, pero esta es la última vez. (cantando) Con un pollito aquí y un pollito allá. Aquí un pollito, allá un pollito, por todas partes un pollito-pollito-(Entra Joey)-pollitoeeeen.",105,3
Joey,21,El pollito y el pato,Ey.,106,3
Chandler,21,El pollito y el pato,Ey.,107,3
Joey,21,El pollito y el pato,¿Cómo está ella?,108,3
Chandler,21,El pollito y el pato,¿Ella?,109,3
Joey,21,El pollito y el pato,"Bueno, sí, ¿no crees que es ella?",110,3
Chandler,21,El pollito y el pato,"No lo sé. (Levanta al pollito y le da la vuelta, tratando de determinar el sexo del pollito, y lo sopla.) No puedo decirlo, lo que sea que fue volvió a entrar demasiado rápido.",111,3
Joey,21,El pollito y el pato,"Bueno, de todos modos, tengo que ir a cambiarme, me reuniré con algunos miembros del elenco para tomar unas copas.",112,3
Chandler,21,El pollito y el pato,¿Disculpe?,113,3
Joey,21,El pollito y el pato,¿Qué?,114,3
Chandler,21,El pollito y el pato,¡Hoy me quedé en casa y no fui al trabajo mientras tú estabas en el ensayo para que alguien pudiera estar aquí con nuestra chica!,115,3
Joey,21,El pollito y el pato,¡Ey! ¿Quién estuvo despierta desde las 2 de la mañana hasta las 5 de la mañana tratando de que se volviera a dormir?,116,3
Chandler,21,El pollito y el pato,¿No crees que me levanto cuando tú te levantas?,117,3
Joey,21,El pollito y el pato,"Ohhh, aquí viene.",118,3
Chandler,21,El pollito y el pato,"¡Sí, aquí viene! Estoy atrapado aquí todo el día, ¿y luego entras y pasas dos segundos con nosotros y luego esperas salir a pasear con tus amigos? ¡Bueno, no lo creo señor!",119,3
Joey,21,El pollito y el pato,¡¡Ey!! ¡Necesito relajarme! ¿Bueno? ¡Estuve trabajando todo el día!,120,3
Chandler,21,El pollito y el pato,¿Y no crees que cuidar de nuestra pollita sea trabajo?,121,3
Joey,21,El pollito y el pato,"Eso no es lo que dije. Vale, solo quise decir...",122,3
Chandler,21,El pollito y el pato,"¡¡Se lo que quisiste decir!! (pausa) ¿Te diste cuenta de que desde que tenemos esta chica, también hemos estado peleando mucho más de lo que solíamos?",123,3
Joey,21,El pollito y el pato,"No lo sé, tal vez no estábamos listos para tener un polluelo.",124,3
Chandler,21,El pollito y el pato,La llevaré de regreso mañana.,125,3
Joey,21,El pollito y el pato,¿Crees que recuperaremos nuestros tres dólares?,126,3
Ross,21,El pollito y el pato,(entrando con un portatrajes) ¡Oye!,127,3
Chandler,21,El pollito y el pato,¡Ey!,128,3
Ross,21,El pollito y el pato,"(ve a la chica) ¡Ohhh, oye! Muy bien, escucha, tengo esa cosa de la televisión en unas dos horas y necesito tu ayuda, ¿vale? ¿Qué opinas? (saca dos trajes) ¿Este traje azul o este marrón?",129,3
Joey,21,El pollito y el pato,"Bueno, el marrón resalta tus ojos, pero tu trasero luce genial con el azul.",130,3
Ross,21,El pollito y el pato,¿En realidad? (Joey le da una mirada de Como si lo supiera),131,3
Rachel,21,El pollito y el pato,"(alcanza la botella) ¡Ay! (Agarra la botella, pero tiene problemas para abrirla. Quita la tapa y las aspirinas vuelan por todos lados cuando Ross entra.)",132,3
Ross,21,El pollito y el pato,¡Guau! ¡Ese baile de la aspirina realmente funciona!,133,3
Rachel,21,El pollito y el pato,(Se inclina para intentar coger la aspirina) ¡Ay!,134,3
Ross,21,El pollito y el pato,"Dios mío, ¿todavía eso...",135,3
Rachel,21,El pollito y el pato,"Estoy bien, estoy bien.",136,3
Ross,21,El pollito y el pato,"No, no lo eres.",137,3
Rachel,21,El pollito y el pato,"¡Sí, lo soy!",138,3
Ross,21,El pollito y el pato,¡Rach!,139,3
Rachel,21,El pollito y el pato,"Mira, estoy bien. Mirar. (Coge una aspirina entre los dedos de los pies) Mira eso. (Levanta la pierna para agarrar la aspirina con la mano y casi se cae.) ¡Vaya, vaya!",140,3
Ross,21,El pollito y el pato,"(evitando que se caiga) Está bien, está bien. ¡Mira, tienes que ir al médico! ¿Bueno?",141,3
Rachel,21,El pollito y el pato,"No. Tengo que prepararme e ir a cenar a casa de mi jefe. Es algo muy importante, hay mucha gente allí que tengo que conocer.",142,3
Ross,21,El pollito y el pato,"Y estoy seguro de que vas a causar una gran impresión. ¡Hola! Soy Rachel Green. Es un placer conocerte. (Levanta la pierna e imita darle la mano, tal como Rachel intentaba recoger la aspirina con los pies.) ¡Vamos, probablemente tengas una costilla rota!",143,3
Rachel,21,El pollito y el pato,"Bueno, mañana iré al hospital, entonces todavía estará roto.",144,3
Ross,21,El pollito y el pato,Rach...,145,3
Rachel,21,El pollito y el pato,"Pero ya sabes, me vendría bien una mano preparándome.",146,3
Ross,21,El pollito y el pato,Raquel...,147,3
Rachel,21,El pollito y el pato,"Mira, o ayúdame o vete.",148,3
Ross,21,El pollito y el pato,Bien. Yo iré.,149,3
Rachel,21,El pollito y el pato,"(con una expresión de dolor en su rostro) Está bien, pero antes de irte, ¿podrías ayudarme primero?",150,3
Ross,21,El pollito y el pato,(Consulta su reloj) Claro. Yo te ayudaré.,151,3
Chandler,21,El pollito y el pato,"(entra corriendo) ¡Oh, bien! ¡Bien! ¿Saben cómo sacar una chica de una videograbadora?",152,3
Rachel,21,El pollito y el pato,(Deja caer el cepillo) ¿Sabes qué? ¡No puedo hacer esto con mi mano izquierda! ¿Podrías ayudarme con esto también?,154,3
Ross,21,El pollito y el pato,"Oh. (Él deja caer los zapatos, le quita el cepillo y lame la punta. No le gusta cómo sabe.)",155,3
Rachel,21,El pollito y el pato,(retirando el cepillo) Está bien. Usemos este pincel. (Le entrega otro.),156,3
Ross,21,El pollito y el pato,Bueno. ¿Estas cosas?,157,3
Rachel,21,El pollito y el pato,Sí.,158,3
Ross,21,El pollito y el pato,Está bien.,159,3
Rachel,21,El pollito y el pato,"Cuidadoso. Luz. Bien, ¿sabes cómo? Simplemente pásalo por la tapa. ¿Bueno? Sólo barrelo.",160,3
Ross,21,El pollito y el pato,"Bien, listo. (Le da un golpe en el ojo con el cepillo.)",161,3
Rachel,21,El pollito y el pato,"¡Oh, ho!",162,3
Ross,21,El pollito y el pato,Lo siento.,163,3
Rachel,21,El pollito y el pato,¡Ey! ¡Eso me está picando en el ojo!,164,3
Ross,21,El pollito y el pato,"Lo siento, lo siento. Cerrar, cerrar, cerrar...",165,3
Rachel,21,El pollito y el pato,"Está bien, simplemente bárrelo.",166,3
Ross,21,El pollito y el pato,Estoy barriendo...,167,3
Rachel,21,El pollito y el pato,Bien.,168,3
Ross,21,El pollito y el pato,"Barrer, barrer....(Empieza a pintarlo en su ojo, haciendo que parezca que tiene un ojo morado.)",169,3
Rachel,21,El pollito y el pato,"Bien, ahora hazlo justo, porque nosotros no...",170,3
Ross,21,El pollito y el pato,¿Qué? ¿Qué?,171,3
Rachel,21,El pollito y el pato,"No queremos que sea demasiado, queremos que sea sutil.",172,3
Ross,21,El pollito y el pato,"No. No, ya sabes, no lo haces, no usas suficiente de esto. (Rachel se sorprende) ¿Qué?",173,3
Rachel,21,El pollito y el pato,"¿Desde cuándo, desde cuándo crees que no uso suficiente de esto?",174,3
Ross,21,El pollito y el pato,"Bueno, cierra los ojos, creo que esto te va a gustar un poco más, porque, muy cerca... (Pone un poco más en el pincel)",175,3
Rachel,21,El pollito y el pato,Sóplalo.,176,3
Ross,21,El pollito y el pato,"(lo arruina) Lo siento. Porque umm, creo que esto te hará un poco más sofisticado.",177,3
Rachel,21,El pollito y el pato,¿Sofisticada como una prostituta?,178,3
Monica,21,El pollito y el pato,¡Ey!,179,3
Phoebe,21,El pollito y el pato,¡Ey!,180,3
Monica,21,El pollito y el pato,"Oye, adivina lo que haré esta noche.",181,3
Phoebe,21,El pollito y el pato,¿Qué?,182,3
Monica,21,El pollito y el pato,Estoy visitando el restaurante con Pete.,183,3
Phoebe,21,El pollito y el pato,"Oh, Mónica, estoy tan emocionada por ti.",184,3
Monica,21,El pollito y el pato,Lo sé.,185,3
Phoebe,21,El pollito y el pato,"Oh, tengo que decirte algo.",186,3
Monica,21,El pollito y el pato,¿Qué?,187,3
Phoebe,21,El pollito y el pato,Pero no puedo decírtelo.,188,3
Monica,21,El pollito y el pato,"Está bien, pero ¿no sería más fácil si tuvieras que decirme algo que pudieras decirme?",189,3
Phoebe,21,El pollito y el pato,"Bueno, seguro en un mundo perfecto. Pero no, prometí que no lo diría y juré agradar a todos mis dioses.",190,3
Monica,21,El pollito y el pato,Bueno. ¿Tiene que ver con Ross y Rachel?,191,3
Phoebe,21,El pollito y el pato,No.,192,3
Monica,21,El pollito y el pato,¿Tiene que ver con Joey?,193,3
Phoebe,21,El pollito y el pato,No.,194,3
Monica,21,El pollito y el pato,¿Tiene que ver con Chandler y ese calcetín que guarda junto a su cama?,195,3
Phoebe,21,El pollito y el pato,"No, ¡pero volvamos a eso más tarde!",196,3
Ross,21,El pollito y el pato,"¡Ahí tienes! Lo suficientemente bueno para tu fiesta, ¿eh?",197,3
Rachel,21,El pollito y el pato,Seguro.,198,3
Ross,21,El pollito y el pato,¿Sí?,199,3
Rachel,21,El pollito y el pato,"Claro, me sentaré junto al transexual de compras.",200,3
Ross,21,El pollito y el pato,"¡Está bien, vamos! ¡Está bien, tengo que irme! Buena suerte en la fiesta. ¿Bueno?",201,3
Rachel,21,El pollito y el pato,"Oh, espera, Ross, ¿podrías quedarte y ayudarme a vestirme?",202,3
Ross,21,El pollito y el pato,"(mira su reloj) Claro, está bien.",203,3
Rachel,21,El pollito y el pato,"Bueno. ¡Vale, genial! Umm, está bien, solo date la vuelta.",204,3
Ross,21,El pollito y el pato,¿Qué?,205,3
Rachel,21,El pollito y el pato,¡No quiero que me veas desnudo!,206,3
Ross,21,El pollito y el pato,"Rachel, te he visto desnuda un millón de veces. Te comí dulce de azúcar desnudo. ¿Recuerdas que chupé ese mini malvavisco de tu ombligo?",207,3
Rachel,21,El pollito y el pato,"Sí, pero eso fue diferente. ¿Sabes? Quiero decir, estábamos, estábamos saliendo entonces, ahora creo que es extraño.",208,3
Ross,21,El pollito y el pato,"Rach, sabes que puedo verte desnuda cuando quiera.",209,3
Rachel,21,El pollito y el pato,¿Qué?,210,3
Ross,21,El pollito y el pato,Todo lo que tengo que hacer es cerrar los ojos. ¿Ver? (cierra los ojos) ¡¡Woo-hoo!!,211,3
Rachel,21,El pollito y el pato,¡Ross! ¡Detén eso!,212,3
Ross,21,El pollito y el pato,"Ah, lo siento.",213,3
Rachel,21,El pollito y el pato,¡Vamos! ¡Ya no quiero que pienses así en mí!,214,3
Ross,21,El pollito y el pato,"Ahh, lo siento, no puedes hacer nada al respecto. Es uno de mis ah, derechos como exnovio. (cierra los ojos de nuevo) ¡Uy, oh sí!",215,3
Rachel,21,El pollito y el pato,¡Basta! ¡Córtalo! ¡Córtalo!,216,3
Ross,21,El pollito y el pato,"Está bien, está bien, lo siento, nunca sucederá... (cierra los ojos) ¡Uh-oh! ¡Espera un minuto! Espera, espera, ahora sois cien y yo soy el rey.",217,3
Rachel,21,El pollito y el pato,Ross...,218,3
Ross,21,El pollito y el pato,"Vamos, ¿crecerías? No es gran cosa.",219,3
Rachel,21,El pollito y el pato,Está bien. (Empieza a quitarse la bata) Bien.,220,3
Ross,21,El pollito y el pato,¡¡¡Jowzah!!!,221,3
Rachel,21,El pollito y el pato,¡¡Bueno!! Mira lo que hiciste. Ahora lo haré yo solo. ¿Bueno?,222,3
Ross,21,El pollito y el pato,"Vaya, vamos.",223,3
Rachel,21,El pollito y el pato,Eso es todo. (Se sube a la cama) ¡¡¡Ay!!!,224,3
Ross,21,El pollito y el pato,¡Ay dios mío!,225,3
Rachel,21,El pollito y el pato,"¡Oh, ay!",226,3
Ross,21,El pollito y el pato,Está bien.,227,3
Rachel,21,El pollito y el pato,¡Ay!,228,3
Ross,21,El pollito y el pato,Mira...,229,3
Rachel,21,El pollito y el pato,¡Ay!,230,3
Ross,21,El pollito y el pato,Bueno.,231,3
Rachel,21,El pollito y el pato,¡Ay!,232,3
Ross,21,El pollito y el pato,¿Rach?,233,3
Rachel,21,El pollito y el pato,¡Ay! ¡Ay!,234,3
Ross,21,El pollito y el pato,Fácil. Fácil. Tienes que ir al hospital. ¿Bueno?,235,3
Rachel,21,El pollito y el pato,"Está bien, lo hago.",236,3
Ross,21,El pollito y el pato,Bueno.,237,3
